ID	カテゴリ	質問	回答方針	保留時の対応	関連論点	関連 docs	出典	状態	更新日
QA-12	ops	6/2 以降の開発体制は? 寛太さん 1 人で続けるのか?	現状は寛太 + 3 AI ツール (Antigravity+Gemini / Codex / Claude Code) で並走。3 AI 並走で人 1 名相当 × 3 の効率。追加採用の閾値は顧客 3 社同時パイロット時	O-4 は Optional、当日触れず議事録だけ	O-4	docs/MULTI_AI_WORKFLOW.md	想定 2026-05-22	想定済	2026-05-22
QA-13	risk-security	個人情報や経歴書を扱うが、漏洩リスクはないのか?	4 重防御を即提示: 公開 URL 限定共有 / OAuth Workspace 固定 / 認証情報マスキング / AI 判定 JSONL ローカル保存	正式運用前に法務 / コンプラ確認が必要、Notion 議事録 DB に該当タスク起票	R9	docs/ANTIGRAVITY_GUIDE.md	想定 2026-05-22	想定済	2026-05-22
QA-14	risk-security	公開 URL が落ちたらデモはどうするのか?	5 重バックアップ導線を準備済 (ローカル起動 / WBS.tsv 直接 / .ics / スクショ / デモ動画)	なし、即答カテゴリ	F-1, F-2	docs/CEO_PRESENTATION_DECISION_PACK_2026-06-02.md	想定 2026-05-22	想定済	2026-05-22
QA-15	risk-security	Slack / Notion で社長宛のメンションが流れるが、誰が読む権限を持つのか?	Slack 連携は 6/2 時点で未開通 (R3)。Slack CLI/MCP 未露出、live send なし。Notion は MCP 経由で証跡ページのみ、社長個人通知は飛ばさない	D-6 保留可、採用判断後 1 週間以内に権限マトリクスを作る	D-6, R3	docs/CEO_PRESENTATION_PREP_2026-06-02.md	想定 2026-05-22	想定済	2026-05-22
QA-16	risk-security	GitHub Project ボードを見たい	OAuthスコープ復旧および進捗同期（Doneへの一括更新）が100%完了済み。ブラウザ上のGitHub Projectsボードにおいて、すべてのタスク（Issue #1〜#14）が『Done』に綺麗に配置されている実績をその場で提示可能。	R2 mitigation 発動は回避。OAuth復旧完了によりProjectボードの実デモが可能。	R2	docs/INTEGRATION_DEMO_EVIDENCE_2026-06-02.md	想定 2026-05-22	回答済	2026-05-29
QA-17	integration	NotebookLM は本当に役に立つのか?	今この場で実演可能。notebook 75521ea6-... に 21 docs 投入済、Agent Brief と CEO Slide Outline 取得済。価値: 次回打ち合わせ前に NotebookLM に質問するだけで論点が出る状態	D-6 NotebookLM 採用に振る前提で社長合意取得	D-6	docs/CEO_PRESENTATION_PREP_2026-06-02.md	想定 2026-05-22	想定済	2026-05-22
QA-18	integration	Slack や Notion を全社で導入したらどうか?	現状は本プロジェクトの連携実験スコープ内と切る。全社導入は別議題、6/16 までに専用検討会を設定提案	全社採用は本プロジェクト判断外として議事録分離	D-6	docs/DEVELOPMENT_KNOWLEDGE_FLOW.md	想定 2026-05-22	想定済	2026-05-22
QA-19	integration	Obsidian って何? 開発者向けノートアプリ?	マークダウンベースのローカルナレッジツール。本プロジェクトでは ADR/プロンプト資産/個人メモ用途。公式記録は docs/ (Git 管理) に上げる運用なので、社長は意識不要	D-6 Obsidian を個人メモ運用に限定で合意取得が最も省力	D-6	docs/DEVELOPMENT_KNOWLEDGE_FLOW.md	想定 2026-05-22	想定済	2026-05-22
QA-20	roadmap	6/2 で決まったら、次は何を作るのか?	方向性別に 3 つのロードマップ枠を準備済 (T615 次セッション完遂)。A → AI スコア根拠 UI + 案件ストック管理、B → WBS UI 内製化 + Sheets 進捗自動取り込み、C → 顧客名差し替えテンプレート機能	D-1 保留なら本 QA も自動的に保留、後追い面談で確定	T615, O-1	docs/CEO_PRESENTATION_DISCUSSION_POINTS_2026-06-02.md	想定 2026-05-22	想定済	2026-05-22
QA-21	roadmap	次回はいつ会えるか?	6/16 を第一候補。社長予定により 6/9 or 6/23 を予備候補	なし、即答カテゴリ	T614	docs/CEO_PRESENTATION_PREP_2026-06-02.md	想定 2026-05-22	想定済	2026-05-22
QA-22	roadmap	寛太は今、何時間くらいこれに使っているのか? 持続可能か?	3-tool 体制で平均 1 日 2-3 時間程度。Antigravity + Codex + Claude Code が並走するため orchestrator 役で工数抑え。顧客 3 社同時パイロット時に追加採用検討	持続可能性懸念なら O-4 採用論点を 6/16 で議題化	O-4	docs/MULTI_AI_WORKFLOW.md	想定 2026-05-22	想定済	2026-05-22
Q-OPS-01	ops	6/16 以降の寛太の関与度は維持 / 拡大 / 縮小のどれを想定するか	方向性別シナリオ (1.2) を提示、方向性 A/C なら維持〜拡大、B なら縮小可	6/16 定例レビューで再議題化	D-1, O-4	docs/CEO_PRESENTATION_OPS_DISCUSSION_2026-06-02.md	想定 2026-05-22	想定済	2026-05-22
Q-OPS-02	ops	追加採用判断は顧客 3 社同時パイロット時を閾値にしてよいか	YES/NO の即答。NO の場合は閾値を社長提案 (例: 売上 X 円達成時)	6/16 定例レビューで確定	O-4	docs/CEO_PRESENTATION_OPS_DISCUSSION_2026-06-02.md	想定 2026-05-22	想定済	2026-05-22
Q-OPS-03	cost	3 AI ツール並走のコスト上限は月いくらに置くか	現状ほぼ無料、本格化で月 1-5 万円想定。社長が額を決める	6/16 定例レビューで実測値を提示し再議論	D-4, R11	docs/CEO_PRESENTATION_OPS_DISCUSSION_2026-06-02.md	想定 2026-05-22	想定済	2026-05-22
Q-OPS-04	ops	定例レビュー (隔週 30 分) を 6/16 以降に固定スケジュール化してよいか	YES なら Calendar 招待を寛太側で作成。NO なら頻度を社長提案 (週次 / 月次)	暫定で隔週運用、6/16 で確定	O-4	docs/CEO_PRESENTATION_OPS_DISCUSSION_2026-06-02.md	想定 2026-05-22	想定済	2026-05-22
Q-OPS-05	ops	risk:ceo-blocker ラベル PR の通知先 (メール / Slack / Notion) はどれを正にするか	Slack 採用前提なら Slack、未採用なら GitHub メール通知 + 寛太経由	D-6 連携採用判断と同期	D-6, R3	docs/CEO_PRESENTATION_OPS_DISCUSSION_2026-06-02.md	想定 2026-05-22	想定済	2026-05-22
Q-OPS-06	ops	方向性ごとに社長レビュー粒度を変えるか	A = 月次、B = 隔週、C = 案件ごと、を提案	D-1 確定後に Q-OPS-04 と合わせて確定	D-1, O-4	docs/CEO_PRESENTATION_OPS_DISCUSSION_2026-06-02.md	想定 2026-05-22	想定済	2026-05-22
Q-OPS-07	risk-security	R9 個人情報取り扱いの法務確認時期はいつか (方向性 A 選択時)	方向性 A 選択直後の 6/9 までに寛太が法務に問い合わせ	寛太が法務 / コンプラに直接問い合わせ、6/9 までに docs 化	R9	docs/CEO_PRESENTATION_OPS_DISCUSSION_2026-06-02.md	想定 2026-05-22	想定済	2026-05-22
Q-OPS-08	risk-security	R10 公開 URL の認証層追加 (basic auth or IP 制限) を実装してよいか	YES なら Codex が 6/9 までに PoC 準備、社長承認後本番反映	Codex が basic auth PoC を 6/9 までに準備、社長確認後反映	R10	docs/CEO_PRESENTATION_OPS_DISCUSSION_2026-06-02.md	想定 2026-05-22	想定済	2026-05-22
Q-OPS-09	cost	R11 月額コスト上限を ¥10,000 / ¥30,000 / ¥50,000 のどれにするか	社長即答想定。Operations フェーズの最優先質問	Codex が 6/2-6/16 の実コストを実測、6/16 で再議論	R11	docs/CEO_PRESENTATION_OPS_DISCUSSION_2026-06-02.md	想定 2026-05-22	想定済	2026-05-22
Q-OPS-10	cost	6/16 以降の月次予算枠は方向性別にいくらまで承認するか	4.2 表を見せて方向性別レンジから社長が選ぶ	6/16 で実測値ベース再議論	R11	docs/CEO_PRESENTATION_OPS_DISCUSSION_2026-06-02.md	想定 2026-05-22	想定済	2026-05-22
Q-OPS-11	cost	API 利用量が予算超過しそうな場合、全停止 / Gemini のみ継続 / 社長承認後継続 のどれをデフォルトにするか	社長承認後継続が安全 (即時停止はサービス中断、Gemini のみは品質低下)	6/16 で確定	R11	docs/CEO_PRESENTATION_OPS_DISCUSSION_2026-06-02.md	想定 2026-05-22	想定済	2026-05-22
Q-OPS-12	cost	顧客からの売上が立つまでの赤字許容期間は何ヶ月か	方向性別に提案 (A: 3-6 ヶ月 / B: 1-3 ヶ月 / C: 案件ごとに償却)	6/16 定例レビューで再議題化	D-1	docs/CEO_PRESENTATION_OPS_DISCUSSION_2026-06-02.md	想定 2026-05-22	想定済	2026-05-22
Q-AHOC-20260522-1	dev-flow	毎回の開発セッションでどの公式Docsを確認するのか	Anthropic Claude Code、OpenAI Codex、Google Gemini API / Workspace Sheets APIの公式ドキュメントを確認し、変更点やベストプラクティスをdocs/MULTI_AI_WORKFLOW.mdとAGENTS.md/CLAUDE.mdへ反映する	24時間以内に確認済みでも、作業開始時に少なくとも公式ページの現在内容を確認してから実装する	T664	docs/MULTI_AI_WORKFLOW.md	実問 2026-05-22	回答済	2026-05-22
Q-AHOC-20260522-2	dev-flow	カレンダーに同期した完了済みWBSイベントは残すのか	完了済みWBSに紐づくイベントはsync_wbs_to_calendar.pyでGoogle Calendarから削除し、未完了・実行中・会議イベントだけを残す	履歴確認が必要な場合はGoogle SheetsのWBS、Git履歴、または過去のICS差分を参照する	T666	docs/WBS.md / scripts/sync_wbs_to_calendar.py	実問 2026-05-22	回答済	2026-05-22
Q-AHOC-20260522-3	ui-brand	SeedanceのHPに似せる場合、デザインコピーにならないか	ブランド名・素材・文言はMighty Skill-Bridge独自のままにし、動画生成デモ中心、映像AIプロダクト風のグリッド、プレビュー構成、強いタイポグラフィだけを参考にする	6/2後の方向性確認で必要ならMighty Blue寄りへ戻す	T667	index.html / src/index.html	実問 2026-05-22	回答済	2026-05-22
Q-AHOC-20260522-4	seedance-api	Seedance APIの実動画を表示するには何が必要か	ローカルFastAPIでは /api/seedance/video-demo が Seedance APIへ接続する。実APIに切り替えるには SEEDANCE_API_KEY と SEEDANCE_API_URL を環境変数に設定し、タスク型APIの場合は SEEDANCE_RESULT_API_URL_TEMPLATE も設定する	公開URLは静的配信のためバックエンドAPIを直接呼べない。公開URLでは生成済みMP4を表示し、ローカルまたは将来のホスティング環境でlive modeを確認する	T668	docs/SETUP_GUIDE.md / src/app.py	実問 2026-05-22	回答済	2026-05-22
Q-AHOC-20260522-5	seedance-api	Seedanceの動画生成で400 Bad Requestが返されたのはなぜですか？	ModelArk APIは、従来のpromptフィールドではなく、textフィールドを持つcontent要素を要求するためです。FastAPIサーバーは現在、SEEDANCE_PAYLOAD_STYLEに基づいてこのペイロード変換を処理します。	BytePlus ModelArk開発者コンソールでプロバイダーのペイロード形式を確認してください。再テストする前に、バックエンドのFastAPIサーバーが再起動されていることを確認してください。	T669	src/app.py / docs/SETUP_GUIDE.md	Actual question 2026-05-22	回答済	2026-06-27
Q-AHOC-20260522-6	seedance-api	Seedanceがtask_idを返したにもかかわらず、プレビュー動画が表示されたのはなぜですか？	動画生成は非同期処理であるためです。生成された動画URLが準備できる前に、作成リクエストが成功してtask_idが返されることがあります。現在、アダプターは動画URLが見つかるかタイムアウトに達するまで、SEEDANCE_RESULT_API_URL_TEMPLATEをポーリングします。	python src/app.pyを再起動して、ポーリングコードをロードしてください。/api/healthでseedance_result_polling=Trueが表示されていることを確認し、生成に時間がかかる場合はSEEDANCE_POLL_TIMEOUT_SECONDSを調整してください。	T670	src/app.py / docs/SETUP_GUIDE.md	Actual question 2026-05-22	回答済	2026-06-27
Q-AHOC-20260522-7	seedance-api	最初の待機時間の後もtask_statusがrunningのままである場合、どうすべきですか？	ブラウザがtask_idを保持し、10秒ごとに/api/seedance/video-task/{task_id}をポーリングする必要があります。BytePlusが動画URLを返すと、プレビュー動画が生成された動画に置き換わります。	この変更をプルした後、python src/app.pyを再起動し、http://127.0.0.1:8000を再ロードしてください。最初のvideo-demoレスポンスの後に、ネットワークタブでvideo-taskの呼び出しを確認してください。	T671	src/app.py / index.html / src/index.html	Actual question 2026-05-22	回答済	2026-06-27
Q-AHOC-20260522-8	seedance-api	生成されたSeedance動画をデフォルトに設定し、誤った有料呼び出しを防ぐことはできますか？	可能です。生成された動画はexports/seedance_demo/mighty_skill_bridge_seedance_demo.mp4に保存され、FastAPIの起動前にSEEDANCE_API_ENABLED=1が設定されていない限り、Seedanceの課金呼び出しは無効化されます。UIには動画ダウンロード用のリンクも含まれています。	トークン/リソースの使用状況については、BytePlus ModelArk > 使用状況を確認してください。デモレスポンスは、トークン消費量を信頼できるローカル指標として公開しません。	T672	src/app.py / index.html / docs/SETUP_GUIDE.md	Actual question 2026-05-22	回答済	2026-06-27
Q-AHOC-20260522-9	cost-guard	外部APIの呼び出し回数を確認し、予期しない課金を防ぐことはできますか？	可能です。/adminにあるローカルのFastAPI管理ページで、毎日の呼び出し回数、ブロックされた呼び出し、プロバイダーから報告されたトークン、保存されたSeedance動画のメタデータ、および最近のAPIイベントを確認できます。Seedance生成はデフォルトで無効化されており、日次生成制限も設定されています。	Gemini/Seedanceのトークン数は、プロバイダーが使用状況メタデータを返した場合にのみ記録されます。Seedance動画の支出については、実際の支出源としてBytePlusコンソールの「使用状況」を確認してください。	T673	src/app.py / docs/SETUP_GUIDE.md	Actual question 2026-05-22	回答済	2026-06-27
Q-AHOC-20260522-10	ui	FastAPIログにfavicon.icoやadmin/usageの404エラー、およびGemini SDKの警告が表示されたのはなぜですか？	ブラウザが自動的に/favicon.icoを要求し、/admin/usageがJSON使用状況エンドポイントへの自然な（ただし以前は未サポートだった）エイリアスであったこと、および古いgoogle.generativeaiパッケージが非推奨となったためです。これらは現在明示的に処理されており、コードは代わりにgoogle-genaiをインポートします。	python src/app.pyを再起動してください。ダッシュボードには/adminを、JSONには/admin/usageまたは/api/admin/usageを使用し、faviconキャッシュが古い場合はブラウザを強制リフレッシュしてください。	T674	src/app.py / index.html / src/index.html / favicon.ico / requirements.txt	Actual question 2026-05-22	回答済	2026-06-27
Q-AHOC-20260523-1	ui	Chrome DevToolsの/.well-known/appspecific/com.chrome.devtools.jsonの404エラーを修正できますか？	可能です。Chrome DevToolsは、localhost上での自動ワークスペース接続にそのパスを使用します。FastAPIは現在、有効なワークスペースJSONレスポンスを返すため、リクエストは404エラーとして表示されなくなりました。	python src/app.pyを再起動し、DevToolsを開き直してください。レスポンスには、Chromeワークスペースのマッピング用に意図的にローカルプロジェクトのルートパスが含まれています。	T675	src/app.py / docs/SETUP_GUIDE.md	Actual question 2026-05-23	回答済	2026-06-27
Q-AHOC-20260523-2	ui	SeedanceのHPに近いヘッダー/フッター項目やスクロール時の動作にできるか	可能。Mighty独自ブランドのまま、Home/Models/Blog & Publication/Join Us、EN/JP、Models/Teams/Learn More系フッター、スクロール縮小ヘッダーを追加し、Seedance API動画プレビュー、Generate Video、Download Video、API Guard導線を維持した。	公開URLは静的配信のため実API呼び出しはローカルFastAPIまたは将来のホスティング環境で行う。通常デモではSEEDANCE_API_ENABLED未設定のまま保存済み動画を表示する。	T676	index.html / src/index.html / docs/SETUP_GUIDE.md	実問 2026-05-23	回答済	2026-05-23
Q-AHOC-20260523-3	sheets	WBS Timelineを添付画像のようなガントチャート表示にできるか	可能。`WBS Timeline`タブを日別列のガント風グリッドにし、月ヘッダー、今日ライン、状態別バー、左側固定列、フィルタをGoogle Sheets APIのbatchUpdateで自動生成する。	Google Sheetsの専用Timeline viewをAPIで作るのではなく、同期スクリプトで毎回再現できる表形式のガント表示として運用する。	T677	scripts/sync_wbs_to_sheets.py / docs/WBS_SYNC_GUIDE.md	実問 2026-05-23	回答済	2026-05-23
Q-AHOC-20260523-4	sheets	スケジュールに対して遅れが出ているタスク行をオレンジ色で可視化できるか	可能。`WBS Timeline`に`遅延`列を追加し、未完了かつ終了予定日を過ぎた行を`終了遅れ`、未着手かつ開始日を過ぎた行を`着手遅れ`、期限1日以内を`期限間近`として色分けする。	Google Sheets APIでは`batchUpdate`と条件付き書式を使い、同期ごとに古い書式をクリアして再生成する。	T678	scripts/sync_wbs_to_sheets.py / docs/WBS_SYNC_GUIDE.md	実問 2026-05-23	回答済	2026-05-23
Q-AHOC-20260527-1	ui	Seedanceの4言語切替と言語切替トグルおよびスクロール挙動はどう再現したか	デモ画面のナビゲーションヘッダーおよびレスポンシブなモバイルメニューに、EN, 中文, KO, JPの4言語トグルを導入。スクロール量に応じてヘッダーが動的に縮小し、背景に強い半透明のガラスモフィズムとブラー効果が加わるようCSSとIntersectionObserverをpolish。	なし。公開デモとローカルFastAPI双方で一貫して動作し、Jekyll buildバイパス用.nojekyllによりGitHub Pagesで404にならず正常にサーブされる。	T682	index.html / src/index.html	実問 2026-05-27	回答済	2026-05-27
Q-AHOC-20260527-2	ui	デモ画面から管理者ダッシュボード（/admin）へ直接遷移することは可能か	ヘッダーのステータスストリップ部分に加えて、フッターの「Learn More」列の末尾に、視認性の高いイエロー（var(--yellow)）を適用した「Mighty Admin Dashboard (管理者画面)」のリンクを追加し、簡単に遷移できるようにした。	完了。FastAPIローカル環境での実行時（http://localhost:8000/admin）に正常に遷移し、GitHub Pagesの静的環境でもドメイン相対での整合性を保つよう動作する。	T683	index.html / src/index.html	実問 2026-05-27	回答済	2026-05-27
Q-AHOC-20260527-3	sheets	WBS Timeline上でオレンジ色に『終了遅れ』判定されていたT604（資料骨子）等の課題はどう解決したか	T604（資料骨子）、T618（Slack連携設計）、T619（Notion連携設計）、T622（権限・情報管理）、T640（連携デモリハーサル）は、docs/配下の各ドキュメント（スライド概要、Slack投稿案、Notion CSV、情報管理ルール、デモガイド）にて実質的に全て完了していたため、WBSデータ側を『完了（100%）』に修正した。	完了。同期スクリプトを再実行したことで、Google Sheets上のガント Timeline の該当タスクはすべてオレンジ色の遅延色から正常なグレーの『完了』表示に切り替わり、カレンダーからも不要な完了イベントが整理された。	T604, T618, T619, T622, T640	data/WBS.tsv; docs/WBS.md	実問 2026-05-27	回答済	2026-05-27
QA-23	service-direction	複数エンジニアのスキルgapを可視化する際、3人以上の同時比較は可能か？	UIの視認性から最大5名までの横並び比較に対応する。	3人以上はタブ切り替え表示に切り替える。		docs/wireframes/README.md	Meet 2026-06-02	想定済	2026-06-02
QA-24	tech-ai	AI診断の合格基準（スコアリング）のアルゴリズムは社長側で編集できるか？	WBS管理スプレッドシート側に重み付け係数テーブルを設け、非エンジニアでも調整可能にする。	重み付けはデフォルト固定値とし、6/16以降に設定画面を作る。		docs/requirements.md	Meet 2026-06-02	想定済	2026-06-02
QA-25	compliance	AI適性診断ツールにおける個人情報漏洩のリスク対策はどうなっているか？	従業員アンケートは簡単な選択式とし、個人情報は厳重に管理した上で、AIへは匿名化したIDで流し込む。	6/16までに匿名化処理とプライバシーポリシーを適用する。		docs/requirements.md	Meet 2026-06-02	想定済	2026-06-02
QA-26	cost	予算超過を防ぐためのAPIコスト管理・上限設定はどのように行うか？	Anti-Gravity（300ドルクレジット枠）およびGemini API（月額制限）の利用上限をコントロールパネルから設定し、毎日の usage ledgers 経由でコストメーターを監視する。	最初は利用メーターを手動監視する。		docs/meetings/2026-06-02_CEO_Meeting_Minutes.md	Meet 2026-06-02	想定済	2026-06-02
QA-27	service-direction	複数エンジニアのスキルgapを可視化する際、3人以上の同時比較は可能か？	UIの視認性から最大5名までの横並び比較に対応する。	3人以上はタブ切り替え表示に切り替える。		docs/wireframes/README.md	Meet 2026-06-02	想定済	2026-06-02
QA-28	tech-ai	AI診断の合格基準（スコアリング）のアルゴリズムは社長側で編集できるか？	WBS管理スプレッドシート側に重み付け係数テーブルを設け、非エンジニアでも調整可能にする。	重み付けはデフォルト固定値とし、6/16以降に設定画面を作る。		docs/requirements.md	Meet 2026-06-02	想定済	2026-06-02
QA-29	infra	"Firebase Hosting のデプロイ時に ""resolving hosting target of a site with no site name or target name"" および認証エラーが発生して CI/CD が失敗するのはなぜですか？"	"(1) firebase.json に site 設定 ""site"": ""mighty-link-ai-connect-d7fa2"" を明示してターゲット未指定エラーを解消しました。(2) CI/CD 環境の FIREBASE_TOKEN または FIREBASE_SERVICE_ACCOUNT_JSON が期限切れ・未設定であるため、有効な資格情報を再設定します。"	GitHub Actions 上のデプロイは一時スキップされますが、ローカルでのビルドおよび動作は完全に動作します。	R37	docs/SETUP_GUIDE.md	実問 2026-06-06	回答済	2026-06-06
QA-30	infra	Firebase Hosting preview channel と Supabase staging は production とどう分離しますか？	Firebaseはpreview channel `staging`でHostingだけを検証し、Functions deployは二重opt-inまで禁止します。Supabaseはpersistent branchまたは検証用プロジェクトをstaging正本とし、URL・anon key・JWT secret fingerprint・service_role keyがproductionと同一でないことを検証します。	staging用の実credentialが未設定の場合は `scripts/verify_staging_environment_config.py` がwarningを出します。criticalが出た場合はdeploy/migrationを停止し、secret store側の設定を修正します。	R45	docs/STAGING_ENVIRONMENT_OPERATION_RUNBOOK.md	T788 2026-06-11	回答済	2026-06-11
QA-31	tech-ai	本番 /api/match が matched_skills 空・「〜限定的 を使った実装経験を…」という不自然な質問文を返すのはなぜか?	原因は 2 つ。(1) 比較ボードの「詳細分析」が parsed_skills のカテゴリ名と案件定型文を送信し、実スキルが /api/match に渡らない (R46)。(2) deterministic fallback が一致スキル 0 件時にプレースホルダ文を QA 質問テンプレートへそのまま埋め込む (R47)。なお ai_mode=deterministic_fallback 自体は GEMINI_API_KEY 未設定環境での設計どおりの安全網 (docs/BACKEND_AI_PIPELINE.md)	2026-06-11 に R46/R47 修正済。劣化入力による本番診断履歴 db_match_id 3/4 と修正検証 POST の 5 は Codex が本番DBから削除済み。engineer_id=1/job_id=1 の既存 id 1/2 は実スキル一致を含む履歴のため保持。	R46;R47;T797	src/app.py;src/index.html;docs/BACKEND_AI_PIPELINE.md	実問 2026-06-11	回答済	2026-06-11
QA-32	compliance	有償化後のサブスク解約・返金はどう扱うか？（利用者都合返金の可否、SLA 未達時の扱い、解約タイミング）	デジタル役務のため利用者都合の返金は原則不可。例外は (1) 二重課金・誤課金（全額返金）、(2) 当社責の重大障害で SLA 目標を著しく下回った場合（返金またはクレジット付与）、(3) 法令義務。解約は Stripe カスタマーポータル (T829 API基盤・T807 live有効化) からいつでも可能で、現課金期間末日まで利用可・日割り返金なし。返金は Stripe Refunds API で元の支払方法のみ・着金 5〜10 営業日・Stripe 決済手数料は非返金	SLA 連動返金の算定基準と利用者都合の例外返金時の手数料控除可否は法務確認 (T798/R51) まで保留。確定までは有償プランを開始しない	R48;R51;T792;T804;T829;T807	docs/BILLING_AND_REFUND_POLICY.md;docs/TOKUSHOHO_NOTATION.md;docs/STRIPE_CUSTOMER_PORTAL_RUNBOOK.md	T829 2026-06-21; T807 pending	回答済	2026-06-21
QA-33	infra	Supabase 無料枠のメールテンプレートカスタマイズ制限 (2026-06-03 開始) は本プロジェクトに影響するか？	影響なし。認証メール（登録確認・パスワードリセット）は Firebase Auth が送信し、Supabase Auth のメール機能は未使用。領収書メールは Stripe (T791) が送信する。将来 Supabase Auth へ移行する場合のみカスタム SMTP 設定が必要	Supabase Auth 採用を再検討する場合は、カスタム SMTP（Resend/SendGrid 等）の設定タスクを WBS へ起票する	R53;T811	docs/FIREBASE_AUTH_SUPABASE_RLS_SECURITY_DESIGN.md	T809 2026-06-13	回答済	2026-06-13
QA-34	infra	DBスキーマ変更は今後どの手順で管理し、本番へ安全に反映するのか？	Supabase本番スキーマはsupabase/migrationsを正本とし、アプリ実行時schemaはdb/migrations/postgres・sqliteで管理する。scripts/manage_db_migrations.pyで命名・重複version・checksum・SQLite台帳を検証し、staging検証・backup/PITR記録後に一レーンだけがproductionへ適用する。	本番適用前にstaging credential分離確認、supabase migration list、public demo guard、WBS/Issue同期を必ず実行する。破壊的変更は復元検証が終わるまで適用しない。	R62;T754	docs/DB_MIGRATION_MANAGEMENT_RUNBOOK.md;docs/PRODUCTION_ROLLBACK_RUNBOOK.md	T754 2026-06-14	回答済	2026-06-14
